profile,method,split,n_points,rmse,mae,relative_l2,normalized_rmse,hot_q90_rmse,gradient_q90_rmse
mean_guard,mean,test,26,1.846333,1.716209,1.000000,0.353727,2.504302,1.846333
mean_guard,mean,train,76,3.304308,2.221752,1.000000,0.109294,6.503932,3.304308
mean_guard,mean,val,26,1.940769,1.821119,1.000000,0.298729,2.894802,1.940769
full_phase108,mean,test,26,1.846333,1.716209,1.000000,0.353727,2.504302,1.846333
full_phase108,mean,train,76,3.304308,2.221752,1.000000,0.109294,6.503932,3.304308
full_phase108,mean,val,26,1.940769,1.821119,1.000000,0.298729,2.894802,1.940769
full_phase108,knn,test,26,4.069206,2.967250,2.203939,0.779592,5.992480,4.069206
full_phase108,knn,train,76,2.791363,1.656886,0.844765,0.092327,5.512683,2.791363
full_phase108,knn,val,26,2.819104,2.146256,1.452571,0.433925,1.441001,2.819104
full_phase108,extra_trees,test,26,8.119862,7.760855,4.397831,1.555630,9.979307,8.119862
full_phase108,extra_trees,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
full_phase108,extra_trees,val,26,6.307558,5.808915,3.250031,0.970879,4.031796,6.307558
full_phase108,hist_gradient_boosting,test,26,1.809990,1.645364,0.980316,0.346764,2.566208,1.809990
full_phase108,hist_gradient_boosting,train,76,3.299117,2.221752,0.998429,0.109122,6.546116,3.299117
full_phase108,hist_gradient_boosting,val,26,1.809450,1.693599,0.932337,0.278516,2.711467,1.809450
no_camera,mean,test,26,1.846333,1.716209,1.000000,0.353727,2.504302,1.846333
no_camera,mean,train,76,3.304308,2.221752,1.000000,0.109294,6.503932,3.304308
no_camera,mean,val,26,1.940769,1.821119,1.000000,0.298729,2.894802,1.940769
no_camera,knn,test,26,2.401268,1.988484,1.300560,0.460043,1.935350,2.401268
no_camera,knn,train,76,3.563939,2.440099,1.078573,0.117881,6.350045,3.563939
no_camera,knn,val,26,3.151675,2.549498,1.623931,0.485115,2.395465,3.151675
no_camera,extra_trees,test,26,1.846333,1.716209,1.000000,0.353727,2.504302,1.846333
no_camera,extra_trees,train,76,3.304308,2.221752,1.000000,0.109294,6.503932,3.304308
no_camera,extra_trees,val,26,1.940769,1.821119,1.000000,0.298729,2.894802,1.940769
no_camera,hist_gradient_boosting,test,26,1.846333,1.716209,1.000000,0.353727,2.504302,1.846333
no_camera,hist_gradient_boosting,train,76,3.304308,2.221752,1.000000,0.109294,6.503932,3.304308
no_camera,hist_gradient_boosting,val,26,1.940769,1.821119,1.000000,0.298729,2.894802,1.940769
camera_only,mean,test,26,1.846333,1.716209,1.000000,0.353727,2.504302,1.846333
camera_only,mean,train,76,3.304308,2.221752,1.000000,0.109294,6.503932,3.304308
camera_only,mean,val,26,1.940769,1.821119,1.000000,0.298729,2.894802,1.940769
camera_only,knn,test,26,3.358810,2.923781,1.819178,0.643492,2.531577,3.358810
camera_only,knn,train,76,4.188953,3.085642,1.267725,0.138554,6.113006,4.188953
camera_only,knn,val,26,4.021824,3.752343,2.072284,0.619052,4.605054,4.021824
camera_only,extra_trees,test,26,1.809849,1.644997,0.980239,0.346737,2.566559,1.809849
camera_only,extra_trees,train,76,3.299117,2.221752,0.998429,0.109122,6.546348,3.299117
camera_only,extra_trees,val,26,1.808794,1.692939,0.931999,0.278415,2.710517,1.808794
camera_only,hist_gradient_boosting,test,26,1.809990,1.645364,0.980316,0.346764,2.566208,1.809990
camera_only,hist_gradient_boosting,train,76,3.299117,2.221752,0.998429,0.109122,6.546116,3.299117
camera_only,hist_gradient_boosting,val,26,1.809450,1.693599,0.932337,0.278516,2.711467,1.809450
source_only,mean,test,26,1.846333,1.716209,1.000000,0.353727,2.504302,1.846333
source_only,mean,train,76,3.304308,2.221752,1.000000,0.109294,6.503932,3.304308
source_only,mean,val,26,1.940769,1.821119,1.000000,0.298729,2.894802,1.940769
source_only,knn,test,26,1.975646,1.716209,1.070038,0.378501,3.109077,1.975646
source_only,knn,train,76,3.376259,2.260926,1.021775,0.111674,6.777074,3.376259
source_only,knn,val,26,2.053697,1.821119,1.058187,0.316111,2.763640,2.053697
source_only,extra_trees,test,26,1.846333,1.716209,1.000000,0.353727,2.504302,1.846333
source_only,extra_trees,train,76,3.304308,2.221752,1.000000,0.109294,6.503932,3.304308
source_only,extra_trees,val,26,1.940769,1.821119,1.000000,0.298729,2.894802,1.940769
source_only,hist_gradient_boosting,test,26,1.846333,1.716209,1.000000,0.353727,2.504302,1.846333
source_only,hist_gradient_boosting,train,76,3.304308,2.221752,1.000000,0.109294,6.503932,3.304308
source_only,hist_gradient_boosting,val,26,1.940769,1.821119,1.000000,0.298729,2.894802,1.940769
layer_time_camera,mean,test,26,1.846333,1.716209,1.000000,0.353727,2.504302,1.846333
layer_time_camera,mean,train,76,3.304308,2.221752,1.000000,0.109294,6.503932,3.304308
layer_time_camera,mean,val,26,1.940769,1.821119,1.000000,0.298729,2.894802,1.940769
layer_time_camera,knn,test,26,4.764133,4.415093,2.580321,0.912728,6.112857,4.764133
layer_time_camera,knn,train,76,2.240434,1.443540,0.678034,0.074105,4.224756,2.240434
layer_time_camera,knn,val,26,3.681219,3.438983,1.896784,0.566625,2.004099,3.681219
layer_time_camera,extra_trees,test,26,14.772670,14.663828,8.001085,2.830197,16.054935,14.772670
layer_time_camera,extra_trees,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
layer_time_camera,extra_trees,val,26,13.750578,13.687718,7.085119,2.116531,12.237489,13.750578
layer_time_camera,hist_gradient_boosting,test,26,1.809990,1.645364,0.980316,0.346764,2.566208,1.809990
layer_time_camera,hist_gradient_boosting,train,76,3.299117,2.221752,0.998429,0.109122,6.546116,3.299117
layer_time_camera,hist_gradient_boosting,val,26,1.809450,1.693599,0.932337,0.278516,2.711467,1.809450
layer_time_only,mean,test,26,1.846333,1.716209,1.000000,0.353727,2.504302,1.846333
layer_time_only,mean,train,76,3.304308,2.221752,1.000000,0.109294,6.503932,3.304308
layer_time_only,mean,val,26,1.940769,1.821119,1.000000,0.298729,2.894802,1.940769
layer_time_only,knn,test,26,1.980871,1.728404,1.072868,0.379502,1.788515,1.980871
layer_time_only,knn,train,76,3.495866,2.349043,1.057972,0.115630,6.503508,3.495866
layer_time_only,knn,val,26,2.069175,1.821119,1.066163,0.318494,2.181403,2.069175
layer_time_only,extra_trees,test,26,1.846333,1.716209,1.000000,0.353727,2.504302,1.846333
layer_time_only,extra_trees,train,76,3.304308,2.221752,1.000000,0.109294,6.503932,3.304308
layer_time_only,extra_trees,val,26,1.940769,1.821119,1.000000,0.298729,2.894802,1.940769
layer_time_only,hist_gradient_boosting,test,26,1.846333,1.716209,1.000000,0.353727,2.504302,1.846333
layer_time_only,hist_gradient_boosting,train,76,3.304308,2.221752,1.000000,0.109294,6.503932,3.304308
layer_time_only,hist_gradient_boosting,val,26,1.940769,1.821119,1.000000,0.298729,2.894802,1.940769
